node_id	species	metabolic_type	feeding_type	environment	feeding_mode	trophic_level	d15N	Mean_mass_g	mobility
82	Alexandrella_mixta	Invertebrate	omnivorous	benthopelagic	predator/scavenger	3.84	8.647	1.3E+00	3
83	Tryphosella_murrayi	Invertebrate	omnivorous	benthopelagic	predator/scavenger	3.89	9.23	1.3E+00	3
84	Waldeckia_obesa	Invertebrate	omnivorous	benthopelagic	predator/scavenger	3.37	10.5	1.3E+00	3
85	Parschisturella_ceruviata	Invertebrate	omnivorous	benthopelagic	predator/scavenger	2.00	12.1	3.2E-01	3
86	Paramoera_walkeri	Invertebrate	omnivorous	benthopelagic	predator/scavenger	3.84	8.647	7.3E-01	3
87	Epimeriella_walkeri	Invertebrate	omnivorous	benthopelagic	predator/scavenger	2.84	8.647	7.3E-01	3
88	Cyllopus_lucasii	Invertebrate	omnivorous	pelagic	predator	2.40	5.58	3.2E-01	4
89	Hyperiella_dilatata	Invertebrate	omnivorous	pelagic	predator	2.13	4.63	5.7E-03	4
90	Vibilia_antarctica	Invertebrate	omnivorous	pelagic	predator	3.68	0.44	1.1E-04	4
91	Vibilia_stebbingi	Invertebrate	omnivorous	pelagic	predator	3.68	0.44	1.1E-04	4
92	Hyperia_macrocephala	Invertebrate	omnivorous	pelagic	predator	4.69	4.63	4.2E-01	4
93	Epimeria_similis	Invertebrate	omnivorous	benthopelagic	predator/scavenger	2.50	8.1	3.7E+00	3
94	Epimeria_robusta	Invertebrate	omnivorous	benthopelagic	predator/scavenger	3.57	8.647	1.9E+00	3
95	Epimeria_macrodonta	Invertebrate	omnivorous	benthopelagic	predator/scavenger	2.69	8.647	1.3E+00	3
96	Epimeria_rubrieques	Invertebrate	omnivorous	benthopelagic	predator/scavenger	3.57	8.647	1.0E+01	3
97	Epimeria_georgiana	Invertebrate	omnivorous	benthopelagic	predator/scavenger	2.56	7.9	1.9E+00	3
98	Melphidippa_antarctica	Invertebrate	omnivorous	benthopelagic	predator/scavenger	3.06	8.647	4.7E-01	3
