Link ID	Link reference 	Body size reference	Geographic location	General habitat	Specific habitat	Link methodology	Body size methodology	Taxonomy consumer	Lifestage consumer	Common name(s) consumer	Metabolic category consumer	Type of feeding interaction	Minimum length (m) consumer	Mean length (m) consumer	Maximum length (m) consumer	Minimum mass (g) consumer	Mean mass (g) consumer	Maximum mass (g) consumer	Taxonomy resource	Lifestage - resource	Common name(s) resource	Metabolic category resource	Minimum length (m) resource	Mean length (m) resource	Maximum length (m) resource	Minimum mass (g) resource	Mean mass (g) resource	Maximum mass (g) resource	Consumer/resource body mass ratio	Notes		
14893	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Thysanoessa macrura	adult	Euphausiacea	invertebrate	herbivorous	0.0063	0.0172	0.0294	-999	-999	-999	Flagellate	-999	Phytoplankton	photo-autotroph	-999	0.00003	0.00003	-999	-999	-999	1.05101E+14	-999
14894	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Thysanoessa macrura	adult	Euphausiacea	invertebrate	predacious	0.0063	0.0172	0.0294	-999	-999	-999	Siphonophora	adult	Siphonophora	Invertebrate	0.004	0.015	0.015	-999	-999	-999	0.107611319	-999
14895	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Thysanoessa macrura	adult	Euphausiacea	invertebrate	herbivorous	0.0063	0.0172	0.0294	-999	-999	-999	Tintinnid	-999	Phytoplankton	photo-autotroph	0.00002	0.001	0.001	-999	-999	-999	136878728.2	-999
14896	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Thysanoessa macrura	adult	Euphausiacea	invertebrate	predacious	0.0063	0.0172	0.0294	-999	-999	-999	Foraminifera	adult	Foraminifera	Invertebrate	0.00007	0.00013	0.00013	-999	-999	-999	30981.23394	-999
14897	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Thysanoessa macrura	adult	Euphausiacea	invertebrate	herbivorous	0.0063	0.0172	0.0294	-999	-999	-999	Phytoplankton	-999	Phytoplankton	photo-autotroph	0.00002	0.0002	0.0002	-999	-999	-999	61014390571	-999
14898	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Thysanoessa macrura	adult	Euphausiacea	invertebrate	predacious	0.0063	0.0172	0.0294	-999	-999	-999	Copepoda	adult	Copepoda	Invertebrate	0.0039	0.00614	0.00663	-999	-999	-999	8.698736172	-999
14899	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Thysanoessa macrura	adult	Euphausiacea	invertebrate	predacious	0.0063	0.0172	0.0294	-999	-999	-999	Pteropoda	adult	Pteropoda	Invertebrate	0.0009	0.042	-999	-999	-999	-999	0.153386179	-999
14900	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Euphausia superba	adult	Euphausiacea	invertebrate	herbivorous	0.0012	0.0571	-999	-999	-999	-999	Diatom	-999	Diatom	photo-autotroph	0.00001	0.00014	-999	-999	-999	-999	2.92979E+12	-999
14901	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Euphausia superba	adult	Euphausiacea	invertebrate	herbivorous	0.0012	0.0571	-999	-999	-999	-999	Fragilariopsis	-999	Diatom	photo-autotroph	0.00001	0.00014	-999	-999	-999	-999	2.92979E+12	-999
14902	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Euphausia superba	adult	Euphausiacea	invertebrate	herbivorous	0.0012	0.0571	-999	-999	-999	-999	Entomoneis sp.	-999	Diatom	photo-autotroph	0.00001	0.00014	-999	-999	-999	-999	2.92979E+12	-999
